StateID,Query,Prct
32,oatmeal raisin cookies,6
33,chocolate chip cookies,77
33,butter cookies,57
33,sugar cookies,45
33,peanut butter cookies,43
33,oatmeal cookies,39
33,girl scout cookies,31
33,christmas cookies,20
33,no bake cookies,20
33,word cookies,14
33,oatmeal chocolate chip cookies,10
33,gluten free cookies,10
33,pumpkin cookies,10
33,italian cookies,8
33,toll house cookies,7
33,gingerbread cookies,7
33,oatmeal raisin cookies,6
33,shortbread cookies,6
33,molasses cookies,6
33,apple cookies,6
34,chocolate cookies,100
34,chocolate chocolate chip cookies,72
34,chocolate chip cookies,72
34,sugar cookies,50
34,butter cookies,49
34,girl scout cookies,39
34,oatmeal cookies,39
34,peanut butter cookies,31
34,christmas cookies,26
34,cake cookies,23
34,how to make cookies,21
34,word cookies,20
34,best cookies,19
34,italian cookies,14
34,insomnia cookies,14
34,clear cookies,12
34,enable cookies,11
34,cookies and cream,11
34,pumpkin cookies,9
35,chocolate chip cookies,75
35,sugar cookies,62
35,butter cookies,61
35,peanut butter cookies,48
35,oatmeal cookies,46
35,girl scout cookies,34
35,christmas cookies,24
35,no bake cookies,19
35,word cookies,18
35,pumpkin cookies,17
35,wedding cookies,10
35,mexican cookies,9
35,oatmeal raisin cookies,9
35,oatmeal chocolate chip cookies,9
35,gingerbread cookies,8
35,rude boy cookies,8
35,cake mix cookies,7
36,chocolate cookies,98
36,chocolate chocolate chip cookies,69
36,chocolate chip cookies,68
36,butter cookies,51
36,sugar cookies,45
36,oatmeal cookies,37
36,peanut butter cookies,36
36,girl scout cookies,34
36,insomnia cookies,32
36,christmas cookies,24
36,best cookies,21
36,how to make cookies,18
36,cookies nyc,18
36,word cookies,17
36,cookies kids,16
36,cookies store,15
36,easy cookies,14
36,italian cookies,12
36,no bake cookies,12
37,chocolate cookies,100
37,chocolate chocolate chip cookies,66
37,chocolate chip cookies,65
37,butter cookies,59
37,sugar cookies,50
37,oatmeal cookies,48
37,peanut butter cookies,44
37,girl scout cookies,40
37,word cookies,27
37,no bake cookies,27
37,insomnia cookies,25
37,cake cookies,22
37,christmas cookies,22
37,how to make cookies,20
37,easy cookies,17
37,best cookies,15
37,chocolate oatmeal cookies,14
37,homemade cookies,12
37,enable cookies,11
37,clear cookies,11
38,chocolate chip cookies,75
38,sugar cookies,59
38,peanut butter cookies,49
38,oatmeal cookies,36
38,christmas cookies,35
38,girl scout cookies,29
38,no bake cookies,28
38,monster cookies,26
38,cookies for you,24
38,word cookies,18
38,insomnia cookies,17
38,pumpkin cookies,11
38,insomnia cookies fargo,9
38,gingerbread cookies,8
38,spritz cookies,7
38,cake mix cookies,7
39,chocolate cookies,100
39,butter cookies,71
39,chocolate chip cookies,65
39,chocolate chocolate chip cookies,64
39,sugar cookies,57
39,peanut butter cookies,56
39,no bake cookies,44
39,oatmeal cookies,43
39,girl scout cookies,41
39,insomnia cookies,32
39,christmas cookies,31
39,cake cookies,28
39,word cookies,26
39,how to make cookies,20
39,easy cookies,18
39,cheryls cookies,17
39,pumpkin cookies,16
39,homemade cookies,11
39,cake mix cookies,11
40,chocolate chip cookies,68
40,no bake cookies,60
40,butter cookies,59
40,sugar cookies,54
40,peanut butter cookies,45
40,oatmeal cookies,41
40,girl scout cookies,32
40,word cookies,25
40,insomnia cookies,17
40,christmas cookies,16
40,cookies okc,15
40,eileens cookies,11
40,cake mix cookies,11
40,homemade cookies,11
40,pumpkin cookies,9
40,chocolate no bake cookies,9
41,chocolate cookies,99
41,chocolate chip cookies,73
41,chocolate chocolate chip cookies,69
41,butter cookies,55
41,oatmeal cookies,47
41,sugar cookies,44
41,peanut butter cookies,43
41,cookie,42
41,no bake cookies,26
41,girl scout cookies,20
41,christmas cookies,15
41,how to make cookies,13
41,easy cookies,12
41,chocolate chip oatmeal cookies,12
41,pumpkin cookies,11
41,gluten free cookies,11
41,vegan cookies,9
41,coconut cookies,8
42,chocolate cookies,100
42,butter cookies,69
42,chocolate chip cookies,68
42,chocolate chocolate chip cookies,67
42,sugar cookies,52
42,peanut butter cookies,51
42,girl scout cookies,41
42,oatmeal cookies,40
42,insomnia cookies,38
42,christmas cookies,30
42,word cookies,26
42,cake cookies,23
42,no bake cookies,21
42,how to make cookies,18
42,easy cookies,18
42,pumpkin cookies,16
42,enable cookies,12
42,italian cookies,10
44,chocolate chip cookies,100
44,sugar cookies,73
44,oatmeal cookies,62
44,peanut butter cookies,60
44,girl scout cookies,53
44,christmas cookies,43
44,insomnia cookies,32
44,word cookies,25
44,italian cookies,19
44,gingerbread cookies,15
44,pumpkin cookies,13
44,no bake cookies,12
44,oatmeal raisin cookies,11
44,shortbread cookies,11
44,ricotta cookies,8
45,chocolate cookies,98
45,chocolate chip cookies,63
45,butter cookies,63
45,sugar cookies,51
45,peanut butter cookies,49
45,oatmeal cookies,43
45,girl scout cookies,42
45,word cookies,36
45,no bake cookies,24
45,christmas cookies,21
45,insomnia cookies,21
45,chocolate oatmeal cookies,15
45,homemade cookies,12
45,enable cookies,12
45,pumpkin cookies,9
45,word cookies answers,8
45,cake mix cookies,8
46,sugar cookies,70
46,chocolate chip cookies,69
46,peanut butter cookies,68
46,oatmeal cookies,51
46,girl scout cookies,38
46,no bake cookies,35
46,christmas cookies,30
46,eileens cookies,22
46,pumpkin cookies,15
46,cake mix cookies,13
46,monster cookies,10
46,oatmeal raisin cookies,9
47,chocolate cookies,92
47,butter cookies,67
47,chocolate chip cookies,59
47,peanut butter cookies,50
47,oatmeal cookies,46
47,sugar cookies,45
47,no bake cookies,39
47,girl scout cookies,34
47,word cookies,34
47,cake cookies,28
47,chocolate oatmeal cookies,19
47,christmas cookies,18
47,easy cookies,18
47,how to make cookies,18
47,oatmeal no bake cookies,14
47,insomnia cookies,12
47,homemade cookies,12
47,cake mix cookies,12
47,enable cookies,9
48,chocolate cookies,97
48,chocolate chip cookies,73
48,chocolate chocolate chip cookies,69
48,sugar cookies,59
48,butter cookies,57
48,cookie,54
48,oatmeal cookies,44
48,peanut butter cookies,41
48,girl scout cookies,41
48,cake cookies,26
48,word cookies,24
48,how to make cookies,24
48,christmas cookies,20
48,no bake cookies,19
48,best cookies,18
48,easy cookies,16
48,cookies and cream,11
48,clear cookies,11
49,chocolate cookies,100
49,chip cookies,91
49,chocolate chip cookies,77
49,chocolate chocolate chip cookies,75
49,sugar cookies,42
49,butter cookies,38
49,peanut butter cookies,30
49,no bake cookies,30
49,pumpkin cookies,29
49,oatmeal cookies,29
